id,party,census_block,dem_partisan_score,state,census_tract,x,y
1825677227,Democrat,37021001801,98.2,37,37021001801,816884.7135782902,-542164.3202608161
3488909595,Democrat,37081010404,98.8,37,37081010404,1059357.1764152637,-473681.0913261285
2348671450,Republican,37081010404,0.6,37,37081010404,1059357.1764152637,-473681.0913261285
1153885739,Democrat,37119005509,97.2,37,37119005509,974049.8647005128,-560862.9383920078
1958471276,Republican,37119005509,1.7,37,37119005509,974049.8647005128,-560862.9383920078
3286938182,Democrat,37065020300,92.8,37,37065020300,1244281.5056106006,-477178.11321360007
189351210,Republican,37183053610,14.2,37,37183053610,1150815.6330012185,-488810.8021463928
1952265719,Democrat,37183053610,75.7,37,37183053610,1150815.6330012185,-488810.8021463928
790197178,Democrat,37183053610,86.25,37,37183053610,1150815.6330012185,-488810.8021463928
186845655,Democrat,37183053610,96.8,37,37183053610,1150815.6330012185,-488810.8021463928
3224247670,Democrat,37087921000,65.0,37,37087921000,777641.8522408784,-554613.8082110225
2497469280,Republican,37025041602,8.5,37,37025041602,1004925.3879515207,-561396.3420108272
901654535,Democrat,37021002102,50.6,37,37021002102,817874.9059053948,-548948.0183716863
3412971849,Democrat,37119006210,96.1,37,37119006210,965041.779955658,-554554.1940709908
532985046,Republican,37199960200,31.5,37,37199960200,835585.4790111063,-500912.65199527063
3346830806,Republican,37199960200,32.45,37,37199960200,835585.4790111063,-500912.65199527063
1802795798,Republican,37199960200,33.4,37,37199960200,835585.4790111063,-500912.65199527063
4150181081,Republican,37183053420,34.9,37,37183053420,1149024.0261892637,-512504.6114305856
4063045012,Democrat,37183053420,68.9,37,37183053420,1149024.0261892637,-512504.6114305856
3745464544,Democrat,37183053420,81.65,37,37183053420,1149024.0261892637,-512504.6114305856
4008725226,Democrat,37183053420,94.4,37,37183053420,1149024.0261892637,-512504.6114305856
273729403,Republican,37081017000,0.8,37,37081017000,1077524.4888473214,-489277.670338613
426781746,Democrat,37119005620,96.2,37,37119005620,986225.2609462128,-575360.9340386568
2074195721,Republican,37109070400,0.4,37,37109070400,930027.1793494113,-555224.8964455797
1378663951,Democrat,37129010501,87.0,37,37129010501,1249750.5003033285,-666174.6717717755
884411215,Democrat,37129010501,92.1,37,37129010501,1249750.5003033285,-666174.6717717755
2464462902,Democrat,37129010501,97.2,37,37129010501,1249750.5003033285,-666174.6717717755
2208973588,Republican,37147001100,3.7,37,37147001100,1296651.028980258,-519499.6174865172
2934640544,Democrat,37147001100,95.5,37,37147001100,1296651.028980258,-519499.6174865172
3705311536,Republican,37113970700,0.3,37,37113970700,733794.2183183758,-604447.7893486918
2369657932,Democrat,37113970700,97.9,37,37113970700,733794.2183183758,-604447.7893486918
3003404296,Republican,37035010302,2.5,37,37035010302,926480.7073271764,-517013.1754506773
