,fraction_voters_Republican,fraction_voters_Democrat,fraction_winners_Republican,fraction_winners_Democrat,medians,total_voters,total_winners,label,map,voting_method
43,0.5743381874593404,0.42566181254065955,1.0,0.0,"[30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8, 44.8]",19983,16,test,2,thiele_approvalindependent
44,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.4, 75.2, 30.4, 61.6, 30.4, 53.1, 30.4, 47.6, 44.8, 83.9, 44.8, 73.3, 44.8, 67.1, 44.8, 63.1]",19983,16,test,2,thiele_squared
45,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[47.9, 72.4, 47.9, 64.6, 47.9, 60.5, 47.9, 57.6, 27.9, 54.0, 27.9, 41.1, 54.0, 36.0, 46.8, 54.0]",19983,16,test,2,thiele_pav
46,0.5743381874593404,0.42566181254065955,1.0,0.0,"[47.9, 47.9, 47.9, 47.9, 47.9, 47.9, 47.9, 47.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9]",19983,16,test,2,thiele_approvalindependent
47,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[47.9, 84.7, 47.9, 75.2, 47.9, 69.5, 47.9, 65.8, 27.9, 73.2, 27.9, 58.2, 27.9, 50.3, 27.9, 43.4]",19983,16,test,2,thiele_squared
48,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[27.7, 53.0, 27.7, 40.0, 53.0, 35.1, 45.2, 53.0, 49.2, 74.3, 49.2, 66.0, 49.3, 62.1, 49.2, 59.0]",19983,16,test,2,thiele_pav
49,0.5743381874593404,0.42566181254065955,1.0,0.0,"[27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 27.7, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2]",19983,16,test,2,thiele_approvalindependent
50,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[27.7, 71.3, 27.7, 57.0, 27.7, 48.9, 63.2, 41.8, 49.2, 86.3, 49.2, 77.0, 49.2, 71.0, 49.2, 67.4]",19983,16,test,2,thiele_squared
51,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[33.4, 61.4, 33.4, 50.8, 33.4, 44.9, 54.6, 41.6, 40.2, 67.4, 40.2, 57.3, 40.2, 52.8, 40.2, 50.3]",19983,16,test,2,thiele_pav
52,0.5743381874593404,0.42566181254065955,1.0,0.0,"[33.4, 33.4, 33.4, 33.4, 33.4, 33.4, 33.4, 33.4, 40.2, 40.2, 40.2, 40.2, 40.2, 40.2, 40.2, 40.2]",19983,16,test,2,thiele_approvalindependent
53,0.5743381874593404,0.42566181254065955,0.5,0.5,"[33.4, 77.4, 33.4, 65.1, 33.4, 57.2, 33.4, 52.4, 40.2, 82.2, 40.2, 70.6, 40.2, 63.7, 40.2, 59.0]",19983,16,test,2,thiele_squared
54,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[48.9, 73.5, 48.9, 65.5, 48.9, 61.3, 48.9, 58.5, 27.9, 53.5, 27.9, 40.5, 53.5, 35.6, 46.0, 53.5]",19983,16,test,2,thiele_pav
55,0.5743381874593404,0.42566181254065955,1.0,0.0,"[48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9, 27.9]",19983,16,test,2,thiele_approvalindependent
56,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[48.9, 85.8, 48.9, 76.2, 48.9, 70.6, 48.9, 66.8, 27.9, 72.2, 27.9, 57.6, 27.9, 49.5, 64.1, 42.4]",19983,16,test,2,thiele_squared
57,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[41.5, 67.2, 41.5, 58.0, 41.6, 53.7, 41.5, 50.9, 32.3, 61.1, 32.3, 50.2, 32.3, 44.0, 53.8, 40.4]",19983,16,test,2,thiele_pav
58,0.5743381874593404,0.42566181254065955,1.0,0.0,"[41.5, 41.5, 41.5, 41.5, 41.5, 41.5, 41.5, 41.5, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3]",19983,16,test,2,thiele_approvalindependent
59,0.5743381874593404,0.42566181254065955,0.5,0.5,"[41.5, 80.6, 41.5, 70.1, 41.5, 64.0, 41.5, 59.5, 32.3, 78.9, 32.3, 65.1, 32.3, 56.3, 32.3, 51.6]",19983,16,test,2,thiele_squared
60,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[44.9, 70.1, 44.9, 61.5, 44.9, 56.9, 44.9, 54.3, 29.6, 57.3, 29.6, 44.9, 57.3, 38.7, 50.5, 35.7]",19983,16,test,2,thiele_pav
61,0.5743381874593404,0.42566181254065955,1.0,0.0,"[44.9, 44.9, 44.9, 44.9, 44.9, 44.9, 44.9, 44.9, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6, 29.6]",19983,16,test,2,thiele_approvalindependent
62,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[44.9, 83.3, 44.9, 72.9, 44.9, 66.9, 44.9, 62.9, 29.6, 76.0, 29.6, 61.7, 29.6, 52.8, 29.6, 47.0]",19983,16,test,2,thiele_squared
63,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.1, 57.4, 30.1, 45.3, 57.4, 39.2, 50.7, 36.5, 44.9, 70.5, 44.9, 61.9, 44.9, 56.9, 44.9, 54.3]",19983,16,test,2,thiele_pav
64,0.5743381874593404,0.42566181254065955,1.0,0.0,"[30.1, 30.1, 30.1, 30.1, 30.1, 30.1, 30.1, 30.1, 44.9, 44.9, 44.9, 44.9, 44.9, 44.9, 44.9, 44.9]",19983,16,test,2,thiele_approvalindependent
65,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.1, 75.3, 30.1, 61.6, 30.1, 53.0, 30.1, 47.5, 44.9, 83.8, 44.9, 73.2, 44.9, 67.2, 44.9, 63.2]",19983,16,test,2,thiele_squared
66,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[29.0, 55.5, 29.0, 43.1, 55.5, 37.6, 48.9, 55.5, 46.2, 70.9, 46.2, 63.1, 46.3, 58.4, 46.2, 55.9]",19983,16,test,2,thiele_pav
67,0.5743381874593404,0.42566181254065955,1.0,0.0,"[29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0, 46.2, 46.2, 46.2, 46.2, 46.2, 46.2, 46.2, 46.2]",19983,16,test,2,thiele_approvalindependent
68,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[29.0, 74.6, 29.0, 60.0, 29.0, 51.5, 29.0, 45.2, 46.2, 83.6, 46.2, 73.8, 46.2, 68.1, 46.2, 64.1]",19983,16,test,2,thiele_squared
69,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[31.3, 57.8, 31.3, 46.7, 57.8, 40.6, 51.7, 38.0, 43.7, 69.8, 43.7, 61.0, 43.7, 55.7, 43.7, 53.1]",19983,16,test,2,thiele_pav
70,0.5743381874593404,0.42566181254065955,1.0,0.0,"[31.3, 31.3, 31.3, 31.3, 31.3, 31.3, 31.3, 31.3, 43.7, 43.7, 43.7, 43.7, 43.7, 43.7, 43.7, 43.7]",19983,16,test,2,thiele_approvalindependent
71,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[31.3, 75.4, 31.3, 62.0, 31.3, 53.7, 31.3, 48.9, 43.7, 83.9, 43.7, 72.8, 43.7, 66.4, 43.7, 62.4]",19983,16,test,2,thiele_squared
