census_FIP,race,dem_partisan_score,party,education,income
42101030200,African-American,91.4637654923618,0,44.58848129007425,48.95245987739809
48485010700,Hispanic,66.08573371612296,0,11.295703513627084,70.60326453814046
17043840201,Caucasian,24.033752400682783,1,45.01978607267719,100.58138317459299
25023511200,African-American,97.691704245284,0,19.645597410098333,
8035014604,Caucasian,94.46193100939904,0,65.75501603748187,126.88819035681709
18097340600,African-American,94.99795269964936,0,13.522760878210157,
47165020300,Caucasian,29.39359692157551,1,13.860761903806358,
12099000101,Caucasian,95.45381704888432,0,66.60301104323443,89.18047941724997
18173030500,Caucasian,23.486357860651214,1,23.678972288584035,9.661819465902402
17111870807,Caucasian,78.05709561410085,0,82.25313635323897,-5.672567849992921
26099251300,Caucasian,92.73503474217159,0,17.51232960800551,77.7676724295491
13135050546,Other,75.711488095136,0,41.079863320232135,84.09957362593343
25017312502,Caucasian,95.48794827680099,0,59.351605771868826,27.512823244460154
34029718000,Caucasian,7.924391196709784,1,11.918669276733159,
36047028300,African-American,101.6395358825946,0,48.788737082370304,
6065042210,Caucasian,71.18363600505253,0,52.231781953517086,3.110103762299733
37191001400,African-American,72.89510771350815,0,41.92530932414216,122.72354954113788
42003517000,Caucasian,89.09904227278255,0,45.70108329916787,22.248896345495865
39049006352,Caucasian,73.13727422742123,0,46.013588639006066,109.37317976828707
36081074900,Caucasian,-2.897695028484227,1,85.89987061219539,359.3228067954255
29003010100,Caucasian,38.46563892061939,1,16.753704660524534,49.96706801699658
17031809400,Asian,98.59911758626659,0,29.773087124184496,
55133203304,Caucasian,65.30886558482268,0,82.52816659898852,33.22294172548406
6111003300,Hispanic,95.36321764069567,0,28.882614979832958,
6073019602,Caucasian,14.777532146141056,1,24.787900828507404,
12031014406,Caucasian,4.243813020083121,1,70.09220273746769,79.67502072052567
8001009408,Caucasian,65.62701073943526,0,81.67604573359418,97.87467354330074
37037020200,Caucasian,17.677819587397156,1,12.454313597058258,63.97685773587282
29077003002,Caucasian,20.38859417844136,1,26.13986395962334,18.62248800738887
6067008704,Hispanic,95.07135876778486,0,33.832120929309134,83.28165936148302
51810046216,Caucasian,38.17826418412519,1,32.59747158388151,98.24084511502896
12033003603,Caucasian,102.66648093459558,0,36.6702661539084,79.95389675116758
25023502102,Caucasian,70.03952920208172,0,27.728003366693283,
6029003804,Caucasian,43.26800733388487,1,72.02590357926651,
34013000400,Hispanic,97.07065581733615,0,11.287601792361436,
9003405300,Caucasian,28.492017327667206,1,15.183227333180401,61.00949619108832
55139002800,Caucasian,26.04420545427187,1,43.28830247691744,122.260537890951
25013811301,Uncoded,92.99977292903023,0,22.146455540239295,
37179021008,Asian,24.293852695221503,1,42.346154550914456,582.7091085351045
4019004029,Caucasian,7.782970925278054,1,25.69636115154939,3.794263048299367
39001770500,Caucasian,2.8183276637668024,1,45.16309696004539,40.863490992753064
